compoundId,Biosample-(GxtoGx)_4G__G2.5Q2_R1 (2) | Sample Number=16,Biosample-(GxtoGx)_4G__G2.5Q2_R2 | Sample Number=20,Biosample-(GxtoGx)_4G__G2.5Q2_R3 | Sample Number=24,Biosample-(GxtoGx)_4G__G2.5Q2_R4 | Sample Number=28,Biosample-(GxtoGx)_4G__G5Q2_R1 | Sample Number=17,Biosample-(GxtoGx)_4G__G5Q2_R2 | Sample Number=21,Biosample-(GxtoGx)_4G__G5Q2_R3 | Sample Number=25,Biosample-(GxtoGx)_4G__G5Q2_R4 | Sample Number=29,Biosample-(GxtoGx)_4G__G7Q2_R1 | Sample Number=18,Biosample-(GxtoGx)_4G__G7Q2_R2 | Sample Number=22,Biosample-(GxtoGx)_4G__G7Q2_R3 | Sample Number=26,Biosample-(GxtoGx)_4G__G7Q2_R4 | Sample Number=30,Biosample-(GxtoGx)_4G__G9Q2_R1 | Sample Number=19,Biosample-(GxtoGx)_4G__G9Q2_R2 | Sample Number=23,Biosample-(GxtoGx)_4G__G9Q2_R3 | Sample Number=27,Biosample-(GxtoGx)_4G__G9Q2_R4 | Sample Number=31,Biosample-(GxtoGx)_5G__G2.5Q2_R1 | Sample Number=32,Biosample-(GxtoGx)_5G__G2.5Q2_R2 | Sample Number=36,Biosample-(GxtoGx)_5G__G2.5Q2_R3 | Sample Number=40,Biosample-(GxtoGx)_5G__G2.5Q2_R4 | Sample Number=44,Biosample-(GxtoGx)_5G__G5Q2_R1 | Sample Number=33,Biosample-(GxtoGx)_5G__G5Q2_R2 | Sample Number=37,Biosample-(GxtoGx)_5G__G5Q2_R3 | Sample Number=41,Biosample-(GxtoGx)_5G__G5Q2_R4 | Sample Number=45,Biosample-(GxtoGx)_5G__G7Q2_R1 | Sample Number=34,Biosample-(GxtoGx)_5G__G7Q2_R2 | Sample Number=38,Biosample-(GxtoGx)_5G__G7Q2_R3 | Sample Number=42,Biosample-(GxtoGx)_5G__G7Q2_R4 | Sample Number=46,Biosample-(GxtoGx)_5G__G9Q2_R1 | Sample Number=35,Biosample-(GxtoGx)_5G__G9Q2_R2 | Sample Number=39,Biosample-(GxtoGx)_5G__G9Q2_R3 | Sample Number=43,Biosample-(GxtoGx)_5G__G9Q2_R4 | Sample Number=47,Biosample-(GxtoGx)_12Q__G2.5Q2_R1 | Sample Number=48,Biosample-(GxtoGx)_12Q__G2.5Q2_R2 | Sample Number=52,Biosample-(GxtoGx)_12Q__G2.5Q2_R3 | Sample Number=56,Biosample-(GxtoGx)_12Q__G2.5Q2_R4 | Sample Number=60,Biosample-(GxtoGx)_12Q__G5Q2_R1 | Sample Number=49,Biosample-(GxtoGx)_12Q__G5Q2_R2 | Sample Number=53,Biosample-(GxtoGx)_12Q__G5Q2_R3 | Sample Number=57,Biosample-(GxtoGx)_12Q__G5Q2_R4 | Sample Number=61,Biosample-(GxtoGx)_12Q__G7Q2_R1 | Sample Number=50,Biosample-(GxtoGx)_12Q__G7Q2_R2 | Sample Number=54,Biosample-(GxtoGx)_12Q__G7Q2_R3 | Sample Number=58,Biosample-(GxtoGx)_12Q__G7Q2_R4 | Sample Number=62,Biosample-(GxtoGx)_12Q__G9Q2_R1 | Sample Number=51,Biosample-(GxtoGx)_12Q__G9Q2_R2 | Sample Number=55,Biosample-(GxtoGx)_12Q__G9Q2_R3 | Sample Number=59,Biosample-(GxtoGx)_12Q__G9Q2_R4 | Sample Number=63,Blk | Sample Number=121,Std1-50uM | Sample Number=112,Std2 (3) | Sample Number=113,Std3 | Sample Number=114,Std4 | Sample Number=115,Std5 | Sample Number=116,Std6 | Sample Number=117,Std7 | Sample Number=118,Std8 | Sample Number=119
3PG 185.06/97.06,1016.11,899.48,1037.77,1054.77,1150.65,1162.45,1156.3,1118.65,1602.57,1668.36,1448.25,1870.9,3125.38,4458.41,4092.34,3853.12,702.46,1120.42,904.78,839.41,1300.28,1353.46,1159.17,1469.86,2631.88,2814.98,2584.26,2583.55,4660.63,5092.48,5365.53,4566.93,1298.84,1393.05,1302.4,1453.61,1465.06,1774.59,1749.44,1777.09,2365,2551.63,2756.45,2447.59,6499.76,7887.81,6556.08,6408.24,363.09,1954084.38,674019.31,306773.53,159989.58,71400.28,26980.6,8211.62,2458.68
3PG 186.06/97.06,335.53,318.93,370.12,374.23,594.17,675.7,732.26,560.27,809.23,1342.36,905.17,1050.94,2282.67,2774.77,2773.33,2908.25,415.12,510.55,464.44,348.72,731.9,890.3,644.63,808.51,1764.23,2103.06,1680.31,1876.74,3857.97,3817.34,4521.81,3255.64,139.77,136.03,153.05,153.78,129.46,75.89,110.12,66.26,142.69,214.34,176.81,73.72,338.96,450.53,331.18,396.36,0,0,0,0,0,0,0,0,0
Lactate 89.07/89.07,109910.34,67469.66,42891.67,71600.34,249930.67,431922.34,79425,86347,721920.69,238744.67,109621,128946.66,167631.67,181068.33,157897.33,287672.66,41600.33,49845,63857,54713,85342,107333,93376.34,87063.66,109953,133367.33,129834.66,136737.33,230385.33,160229.33,164014.33,168525,54141.67,57445,61190.67,63794.67,74114,198402,174176,97537.34,134192.67,409686,149908,160830.33,177428.33,231198,215302.33,243586.33,36900.67,9455901,4176139.25,2127915,1243366.38,668726,333282.66,169537,104928
Lactate 90.07/90.07,7642.33,6298.33,5722.33,7305,28002.67,40943,28743.33,31268.67,66427.66,62554,55440,63123,73428,96313.34,92422.66,100814,6547.67,8240,10464.67,8857.67,34023.67,36569.67,41834.67,43294.67,67170.66,83918.34,83035.66,83901.34,89346,106475.66,118237.34,102294.66,4068,5077,5139.67,5678.33,6125,11364,11808.33,7519.67,8216,18967,10235.33,10202,12208.33,16116,15184.33,16260,0,0,0,0,0,0,0,0,0
PEP 167.13/79.13,290.69,285.06,224.79,245.02,232.5,330,205.68,345.35,442.05,404.99,363.7,479.9,1022.67,1176.58,1113.14,1155.35,189.76,273.9,279.41,239.78,235.84,299.89,326.46,371.44,607.03,761.18,723.02,708.17,1343.59,1623.78,1489.53,1065.65,207.34,296.46,295.81,368.3,431.54,463.9,532.38,468.76,616.14,642.27,740.18,699.14,2070.61,2509.68,1929.68,2194.17,59.33,2069555,639387,290186.44,137883.31,63805.3,21986.06,6275.96,1238.91
PEP 168.13/79.13,82.39,172.79,98.66,141.75,73.09,105.91,139.87,179.34,288.52,359.64,233.28,356.5,600.02,722.71,747.69,893.18,130.95,220.14,173.05,135.26,219.26,265.39,139.59,249.24,358.64,533.26,382.24,411.05,1148.37,1240.35,1117.4,916.18,68.28,362.93,75.03,42.07,300.67,159.76,99.55,14.21,59.97,92.11,41.98,40.33,82.72,70.69,130.55,153.27,0,0,0,0,0,0,0,0,0
Pyruvate 87.04/87.04,44980.39,41424.19,35341.38,42940.64,60697.08,91816.9,72230.8,75621.8,103319.81,120966.53,104543.91,113329.9,184318.89,223090.92,199669.17,220176.88,41163.56,63443.36,73467.88,58504.37,70076.7,77308.37,81506.6,80730.23,122554.31,153118.39,132277.92,137153.55,202759.88,250594.2,257824.62,214870,35327.38,36964.24,40549.04,45360.74,70651.81,90091.07,115493.02,89612.81,106991.66,123942.93,125277.66,114164.18,222829.27,289597.69,266259.25,295340.53,921.48,1430128.38,660098.25,346874.91,219876.8,146941.36,94567.24,54482.8,30781.8
Pyruvate 88.04/88.04,9763.82,10175.97,8458.72,10422.07,31020.1,40966.17,36393.57,40152.07,59935.75,71938.98,64931.07,72140.25,124172.84,155918.48,140815.67,152576.05,13438.77,16046.89,19224.84,16114.94,38810.73,41184.62,51048.32,52153.07,86362.01,114581.27,92978.12,104152.84,167785.06,201050.44,216071,173685.67,5644,6586.23,8600.17,8118.54,9223.19,9128.18,11338.02,8976.23,10304.6,11097.59,8142.75,9601.32,17796.46,19942.69,17872.17,21684.04,0,0,0,0,0,0,0,0,0
Succinate 117.09/73.09,43231.45,41592.88,36678.71,35870.16,34803.33,34488.32,32381,32770.47,32595.54,35462.02,31841.4,33580.04,34156.04,39207.8,35292.33,36447.31,37575.82,38202.3,38818.92,28074.74,29949.53,30670.05,29549.7,28587.69,28655.38,30168.57,25871.73,25051.04,28269.5,30430.56,28907.17,23291.45,19216.76,21044.37,19532.5,18946.01,20215.09,24235.93,24969.79,20686.84,19126.52,21719.7,22020.98,17689.28,22186.18,25444.56,21391.69,22391.45,176.51,6811051.5,1929245.38,889593.56,470548,234203.95,105561.56,48223,23898.44
Succinate 118.09/73.09,582.67,521.01,519.98,345,445.32,363.33,344.67,407,389.04,533.04,363.35,438.99,281.91,582.67,463.67,495,1441.33,1503.98,1478.67,1065.33,2092.76,2281.05,2101.22,2336.74,2544.37,3239.03,2531.39,2299.35,2518.35,3358.81,2945,2512.34,8446.67,9587.33,8202.35,8302.98,6184.33,8910.41,8804,6698.92,4943.67,5777,6015.31,4924.67,5908.74,7137.12,6147.15,6335.13,0,0,0,0,0,0,0,0,0
Succinate 118.09/74.09,1836.06,1987.28,1473.94,1539.4,1294.03,5937.26,1339.86,1233.87,1198.85,857.37,1643.54,2001.02,1366.9,1552.82,1247.77,1393.68,2467.54,2958.43,2426.98,4160.08,3784.33,4389.08,3369.67,7410.82,4354.98,5207.48,3766.13,3493.02,4167.87,5635.86,5442.37,3834.36,9275.16,10835.3,9652.05,9588.96,7134.61,9774.74,9389.96,7923.72,5483,6906.22,7251.66,6575.1,7192.71,8539.13,6893.35,7730.95,0,0,0,0,0,0,0,0,0
Taurine 124/80,15845635,17817374,16978422,18105406,18447682,17462686,17173726,16677155,16175997,19355586,17832726,17502464,16278016,19078974,16341827,16952806,15139516,15984608,15707959,14710703,15902723,16988810,17797304,16571613,16492315,17671338,17762582,18143886,13830905,16809706,17277310,17350786,15342327,16713205,15856635,14998177,16791856,17492696,16840578,15020200,15387732,16227821,17439762,15032069,16256005,17174594,16854218,16390264,4385.67,19392058,9366705,5170338.5,2746406,1440782.38,724764,346737,180655.67
Taurine 126/82,902820,991794.31,929802.69,1023266.31,919307,998501.69,962876.31,952075.69,965104,1116642,1019066.31,1069772,924698.31,1043159.69,979275.69,928468,852004.69,874462.69,900260,812366.69,942560,963923.69,960396.69,971044,917620.31,960663.31,979148,987906,809448.31,928484.31,988240.31,955510.69,859096,919050,901833.31,913402,928891.31,1004553.31,995546.69,863894,845214.31,965918.69,1058005.38,853290.31,937324.31,972098.69,957642,983850.69,296,1108429.62,525987.31,289715.03,148711.33,78661.24,39294,18805.33,10016.33
Taurine 128/80,7916974.5,7458014,7197998.5,7276144,7672080,6663962.5,6827522,7007204.5,7733801.5,6905940,7137562.5,6855742.5,8004478.5,7116430.5,7400542.5,7050760,7331622,6616598.5,6113837.5,6824480,7155082,6928401.5,6748305.5,6492836,7453085.5,6797632.5,7347726.5,7207105.5,7642278.5,7371828.5,6991016,7409203.5,7688458.5,6939124,7151866,6854441.5,7230396,6312571.5,6307333.5,6708898.5,7783252,7158892,7362365.5,7718206.5,7788440.5,7111077.5,7522678.5,7355742.5,33151750,26026102,25044808,26162142,29626418,30281254,30004254,29382654,31794462
aKG 145.08/101.08,15646.95,13622.6,10585.67,13454.01,13420.02,15250.09,12547.12,16050.67,16012.45,16479.92,15160,17719.56,16165.69,21268.71,20417.01,21750.9,12495.36,12561.68,13348.67,10380.16,13778.01,12933.73,15122.05,13127.71,16122.96,17258.11,16441.58,17087.1,16380.94,18414.48,21371.76,19916.03,7651.18,10068.32,11264.66,12279.07,13088.25,10045.79,11429.33,11693.11,10645.81,11854.33,11992.79,13231.29,13772.6,13153.54,14730.88,16594.2,12238,491178.62,188078.06,90302.21,50252.49,31826.17,22016.28,16929.15,13738.65
aKG 146.08/101.08,139.73,163.37,116.82,82.81,174.48,173.66,226.22,131.68,192.34,251.52,233.06,140.29,210.01,374.22,253.84,287.79,298.24,380.36,376.96,310.69,848.79,808.38,891.13,864.04,1430.53,1467.13,1502.12,1641.34,1746.8,2154.73,2357.78,2122.14,158.92,191.98,142.68,236.99,192.65,204.52,257.14,124.18,205.65,241.84,253.67,186.45,312.83,386.62,391.97,334.16,0,0,0,0,0,0,0,0,0
aKG 146.08/102.08,120.07,138.5,166.94,133.67,175.75,138.32,278.62,121.55,78.1,230.79,283.54,427.45,432.69,561.26,600.51,616.54,136.86,244.59,164.02,176.76,426.98,492.3,423.25,489.66,793.36,1275.52,1087.28,1088.93,1667.44,1806.48,2274.26,1852.99,182.22,225.14,362.37,458.79,191.78,237.56,124.27,114.52,432.04,511.54,548.15,347.65,860.68,1101.37,980.85,960.82,0,0,0,0,0,0,0,0,0
Malate 133.09/115.09,32013.61,36808.79,34293.17,35244.19,37814.89,46749.58,45125.09,45596.93,46247.4,63380.38,54448.82,59689.59,69446.12,88631.9,75981.09,86646.66,28316.57,34914.32,32729.97,27921.81,39115.44,41970.37,39422.28,38561.45,46089.96,55927.08,53946.91,46627.12,57029.73,67284.82,71331.68,55164.43,14650.7,17808.06,15612.55,18277.85,22782.53,25516.91,26430.41,22638.06,29263.21,32992.14,38221.04,31430.44,49664.53,60119.31,56542.82,58420.33,278.77,4883573,1344660.88,600886.06,313711.88,159419.7,74215.03,35129.14,16542.51
Malate 134.09/116.09,1629.32,1858.25,1918.36,1920.39,2579.62,3424.73,3253.22,3044.91,5054.72,7393.1,6337.06,7195.56,10287.15,14449.82,12745.88,14121.68,3378.39,4205.4,3836.74,3164.83,10188.57,11818.39,10873.68,10870.25,18663.31,24072.19,21314.32,19522.4,26483.54,31522.71,33537.93,26874.41,16262.53,18477.52,17993.72,19402.34,19500.3,21065.34,22971.91,19302.31,18301.04,20304.23,23233.8,20062.69,25402.82,31400.79,29689.22,30590.38,0,0,0,0,0,0,0,0,0
Malate 135.09/117.09,460.63,192.95,387.7,333.04,378.31,538.63,451,652.22,768.34,839.87,448.12,737.98,923.83,1133.21,958.92,1265.29,601.66,430.3,414.38,617.68,873.95,1211.43,1173.99,990.01,2103.13,2685.9,2947.3,2674.84,3144.67,3919.2,4401.96,3337.69,1485.39,1294,1590.03,1681.68,1481.75,1849.34,2383.72,1998.12,1610.84,1430.29,2100.08,1753.39,2560.29,2902.37,2798.04,3109.04,0,0,0,0,0,0,0,0,0